1
Albuterol; ProAir HFA; ProAir Respiclick; Proventil HFA; Ventolin HFA; Selective β2-adrenergic agonist; Asthma, Exercise-induced asthma
Nitrofurantoin; Macrodantin; Macrobid; ; ; Nitrofuran Antibiotic; Urinary tract infection
Trimethoprim-sulfamethoxazole; Bactrim; Septra; ; ; Sulfonamide Antibiotic; Urinary tract infection
Fluconazole; Diflucan; ; ; ; Imidazole Antifungal; Candidiasis
Ketoconazole; Nizoral; ; ; ; Imidazole Antifungal; Dandruff, Tinea corporis, Tinea cruris, Tinea pedis
Nystatin systemic; Bio-Statin; ; ; ; Polyene Antifungal; Oropharyngeal candidiasis
Nystatin topical; Mycostatin; Nyamyc; Nystop; ; Polyene Antifungal; Candidiasis of skin
Terbinafine; Lamisil; ; ; ; Antifungal; Onychomycosis
Clobetasol; Temovate; ; ; ; Topical corticosteroid; Plaque psoriasis
Prednisone; Deltasone; ; ; ; Corticosteroid; Disorders due to an inflammatory response (e.g., asthma, ulcerative colitis, multiple sclerosis, rheumatoid arthritis)
9
Amitriptyline; Elavil; ; ; ; Tricyclic antidepressant; Depression
Nortriptyline; Pamelor; ; ; ; Tricyclic antidepressant; Depression
Citalopram; Celexa; ; ; ; Selective serotonin reuptake inhibitor (SSRI); Depression
Paroxetine; Paxil; Paxil CR; ; ; Selective serotonin reuptake inhibitor (SSRI); Depression, Generalized anxiety disorder, Social anxiety disorder, Obsessive compulsive disorder, Panic disorder, Posttraumatic stress disorder, Premenstrual dysphoric disorder, Vasomotor symptoms of menopause
Escitalopram; Lexapro; ; ; ; Selective serotonin reuptake inhibitor (SSRI); Depression, Generalized anxiety disorder
Fluoxetine; Prozac; Sarafem; ; ; Selective serotonin reuptake inhibitor (SSRI); Depression, Obsessive compulsive disorder, Panic disorder, Premenstrual dysphoric disorder
Sertraline; Zoloft; ; ; ; Selective serotonin reuptake inhibitor (SSRI); Depression, Obsessive compulsive disorder, Panic disorder, Premenstrual dysphoric disorder
Duloxetine; Cymbalta; ; ; ; Serotonin/norepinephrine reuptake inhibitor (SNRI); Anxiety, Depression, Diabetic peripheral neuropathy pain
Venlafaxine; Effexor; Effexor XR; ; ; Serotonin/norepinephrine reuptake inhibitor (SNRI); Depression, Generalized anxiety disorder, Panic disorder, Social anxiety disorder
Lithium; Eskalith; Eskalith-CR; Lithobid; ; Antimanic; Bipolar disorder
Mirtazapine; Remeron; ; ; ; Antidepressant, alpha-2 antagonist; Depression
Bupropion; Wellbutrin; Zyban; ; ; Monocyclic antidepressant; Depression, Seasonal affective disorder, Smoking cessation assistance
Trazodone; Desyrel; ; ; ; Antidepressant; Depression (uncommon use), Insomnia (off label but typical use)
10
Aripiprazole; Abilify; ; ; ; 2nd generation (atypical) antipsychotic; Bipolar disorder, Schizophrenia, Depression, Tourette’s disorder
Olanzapine; Zyprexa; ; ; ; 2nd generation (atypical) antipsychotic; Bipolar disorder, Schizophrenia, Depression
Risperidone; Risperdal; ; ; ; 2nd generation (atypical) antipsychotic; Irritability associated with autism spectrum disorder, Bipolar disorder, Schizophrenia, Tourette syndrome
Quetiapine; Seroquel; Seroquel XR; ; ; 2nd generation (atypical) antipsychotic; Bipolar disorder, Major depressive disorder (adjunct to antidepressant), Schizophrenia
Alprazolam; Xanax; ; ; ; Benzodiazepine [C-IV]; Anxiety, Panic disorder
Clonazepam; Klonopin; ; ; ; Benzodiazepine [C-IV]; Panic disorder, Seizure
Diazepam; Valium; ; ; ; Benzodiazepine [C-IV]; Alcohol withdrawal syndrome, Anxiety, Seizure
Temazepam; Restoril; ; ; ; Benzodiazepine [C-IV]; Insomnia
Lorazepam; Ativan; ; ; ; Benzodiazepine [C-IV]; Anxiety, Insomnia due to anxiety or situational stress
Buspirone; BuSpar; ; ; ; Antianxiety; Anxiety
